Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-01-02T15:00:00Z,SPY   240102P00471000,0.41,-1,,Filled,-0.41,"TargetCredit:0.285" 
2024-01-02T20:30:00Z,SPY   240102P00469000,0.02,-1,,Filled,-0.02,"" 
2024-01-04T15:00:00Z,SPY   240104P00467000,0.26,-1,,Filled,-0.26,"TargetCredit:0.17100000000000004" 
2024-01-04T20:30:00Z,SPY   240104P00466000,0.02,-1,,Filled,-0.02,"" 
2024-01-05T15:00:00Z,SPY   240105P00466000,0.35,-1,,Filled,-0.35,"TargetCredit:0.22800000000000004" 
2024-01-05T20:30:00Z,SPY   240105P00465000,0.04,-1,,Filled,-0.04,"" 
2024-01-08T15:00:00Z,SPY   240108P00467000,0.13,-1,,Filled,-0.13,"TargetCredit:0.1425" 
2024-01-08T20:30:00Z,SPY   240108P00466000,0.01,-1,,Filled,-0.01,"" 
2024-01-09T15:00:00Z,SPY   240109P00471000,0.43,-1,,Filled,-0.43,"TargetCredit:0.38" 
2024-01-09T20:30:00Z,SPY   240109P00469000,0.01,-1,,Filled,-0.01,"" 
2024-01-10T15:00:00Z,SPY   240110P00473000,0.27,-1,,Filled,-0.27,"TargetCredit:0.17100000000000004" 
2024-01-10T20:30:00Z,SPY   240110P00472000,0.01,-1,,Filled,-0.01,"" 
2024-01-19T15:00:00Z,SPY   240119P00476000,0.46,-1,,Filled,-0.46,"TargetCredit:0.20899999999999996" 
2024-01-19T20:30:00Z,SPY   240119P00475000,0.01,-1,,Filled,-0.01,"" 
2024-01-22T15:00:00Z,SPY   240122P00483000,0.31,-1,,Filled,-0.31,"TargetCredit:0.21850000000000003" 
2024-01-22T20:30:00Z,SPY   240122P00482000,0.02,-1,,Filled,-0.02,"" 
2024-01-24T15:00:00Z,SPY   240124P00486000,0.41,-1,,Filled,-0.41,"TargetCredit:0.1615" 
2024-01-24T20:30:00Z,SPY   240124P00485000,0.23,-1,,Filled,-0.23,"" 
2024-01-25T15:00:00Z,SPY   240125P00486000,0.48,-1,,Filled,-0.48,"TargetCredit:0.22799999999999998" 
2024-01-25T20:30:00Z,SPY   240125P00485000,0.03,-1,,Filled,-0.03,"" 
2024-01-26T15:00:00Z,SPY   240126P00486000,0.33,-1,,Filled,-0.33,"TargetCredit:0.30399999999999994" 
2024-01-26T20:30:00Z,SPY   240126P00484000,0.01,-1,,Filled,-0.01,"" 
2024-01-30T15:00:00Z,SPY   240130P00489000,0.37,-1,,Filled,-0.37,"TargetCredit:0.16150000000000003" 
2024-01-30T20:30:00Z,SPY   240130P00488000,0.03,-1,,Filled,-0.03,"" 
2024-02-01T15:00:00Z,SPY   240201P00483000,0.6,-1,,Filled,-0.6,"TargetCredit:0.30399999999999994" 
2024-02-01T20:30:00Z,SPY   240201P00481000,0.01,-1,,Filled,-0.01,"" 
2024-01-02T15:00:00Z,SPY   240102P00469000,0.11,1,,Filled,0.11,"TargetCredit:0.285" 
2024-01-02T20:30:00Z,SPY   240102P00471000,0.37,1,,Filled,0.37,"" 
2024-01-04T15:00:00Z,SPY   240104P00466000,0.14,1,,Filled,0.14,"TargetCredit:0.17100000000000004" 
2024-01-04T20:30:00Z,SPY   240104P00467000,0.05,1,,Filled,0.05,"" 
2024-01-05T15:00:00Z,SPY   240105P00465000,0.2,1,,Filled,0.2,"TargetCredit:0.22800000000000004" 
2024-01-05T20:30:00Z,SPY   240105P00466000,0.15,1,,Filled,0.15,"" 
2024-01-08T15:00:00Z,SPY   240108P00466000,0.08,1,,Filled,0.08,"TargetCredit:0.1425" 
2024-01-08T20:30:00Z,SPY   240108P00467000,0.02,1,,Filled,0.02,"" 
2024-01-09T15:00:00Z,SPY   240109P00469000,0.11,1,,Filled,0.11,"TargetCredit:0.38" 
2024-01-09T20:30:00Z,SPY   240109P00471000,0.02,1,,Filled,0.02,"" 
2024-01-10T15:00:00Z,SPY   240110P00472000,0.14,1,,Filled,0.14,"TargetCredit:0.17100000000000004" 
2024-01-10T20:30:00Z,SPY   240110P00473000,0.02,1,,Filled,0.02,"" 
2024-01-19T15:00:00Z,SPY   240119P00475000,0.29,1,,Filled,0.29,"TargetCredit:0.20899999999999996" 
2024-01-19T20:30:00Z,SPY   240119P00476000,0.02,1,,Filled,0.02,"" 
2024-01-22T15:00:00Z,SPY   240122P00482000,0.19,1,,Filled,0.19,"TargetCredit:0.21850000000000003" 
2024-01-22T20:30:00Z,SPY   240122P00483000,0.05,1,,Filled,0.05,"" 
2024-01-24T15:00:00Z,SPY   240124P00485000,0.21,1,,Filled,0.21,"TargetCredit:0.1615" 
2024-01-24T20:30:00Z,SPY   240124P00486000,0.73,1,,Filled,0.73,"" 
2024-01-25T15:00:00Z,SPY   240125P00485000,0.27,1,,Filled,0.27,"TargetCredit:0.22799999999999998" 
2024-01-25T20:30:00Z,SPY   240125P00486000,0.16,1,,Filled,0.16,"" 
2024-01-26T15:00:00Z,SPY   240126P00484000,0.1,1,,Filled,0.1,"TargetCredit:0.30399999999999994" 
2024-01-26T20:30:00Z,SPY   240126P00486000,0.04,1,,Filled,0.04,"" 
2024-01-30T15:00:00Z,SPY   240130P00488000,0.22,1,,Filled,0.22,"TargetCredit:0.16150000000000003" 
2024-01-30T20:30:00Z,SPY   240130P00489000,0.07,1,,Filled,0.07,"" 
2024-02-01T15:00:00Z,SPY   240201P00481000,0.25,1,,Filled,0.25,"TargetCredit:0.30399999999999994" 
2024-02-01T20:30:00Z,SPY   240201P00483000,0.03,1,,Filled,0.03,"" 
